CustomerID,Age,Gender,Income,Education,Marital_Status,Total_Spending,Campaign_Acceptance,Last_Purchase_Date,Region,Occupation,Number_of_Children,Household_Size,Customer_Lifetime_Value,Engagement_Score,Preferred_Communication_Channel,Purchase_History,Loyalty_Program_Status,Social_Media_Activity,Feedback_Score
1,56,Male,38794,Bachelor,Single,2101,1,2024-12-22,East,Lawyer,2,4,16625,81,SMS,Toward detail true six traditional research.,Silver,88,4
2,69,Female,50653,PhD,Divorced,2388,0,2023-07-27,South,Teacher,1,5,9214,66,Phone,However only question treat.,Bronze,0,5
3,46,Female,48977,Master,Married,2386,0,2024-01-07,East,Doctor,3,5,5761,95,Phone,We consumer room focus while.,Silver,31,5
4,32,Male,53451,High School,Widowed,2428,0,2023-11-10,East,Scientist,4,4,15550,81,Email,Could to physical stand two.,Bronze,96,5
5,60,Male,17133,High School,Married,2502,1,2024-10-21,South,Engineer,0,2,15303,64,Phone,Challenge practice serious.,Bronze,63,2
6,25,Female,44973,Master,Single,2248,0,2024-07-07,South,Teacher,4,2,11629,72,Email,Almost because customer happy worker explain.,Gold,6,2
7,38,Female,66872,Master,Divorced,2178,0,2023-06-03,West,Engineer,0,6,8514,17,Phone,Include body option huge.,Gold,94,1
8,56,Female,68981,High School,Married,2971,1,2023-10-08,North,Artist,0,1,12572,38,Phone,Someone person specific nation.,Platinum,89,1
9,36,Female,35130,PhD,Single,2391,1,2023-10-25,North,Lawyer,4,5,10097,90,Phone,Read main reveal.,Bronze,70,4
10,40,Female,63808,Master,Married,1577,0,2023-01-31,East,Scientist,3,2,9071,43,Email,Material professor party. Thank exist beyond.,Bronze,99,3
11,28,Female,38578,PhD,Divorced,1068,0,2024-04-20,West,Doctor,1,2,7970,40,Email,Night range recent share.,Gold,45,4
12,28,Female,44382,High School,Widowed,1879,1,2024-04-12,East,Engineer,4,1,9951,45,SMS,Miss cultural fly soldier development life.,Bronze,23,6
13,41,Male,45170,PhD,Single,2312,1,2024-03-28,West,Doctor,2,5,11640,40,Email,Talk animal include and recently wall wish.,Bronze,68,1
14,53,Female,51632,PhD,Single,2479,1,2024-11-14,East,Artist,0,1,10492,71,SMS,Research more big appear natural according rise.,Bronze,85,8
15,57,Female,65020,Master,Divorced,1374,0,2024-10-16,North,Engineer,1,1,12652,88,Email,Fear team professional that describe head public.,Silver,35,8
16,41,Male,53968,PhD,Single,2364,0,2023-06-25,West,Doctor,2,4,9342,94,Email,Camera environment study talk color.,Platinum,66,7
17,20,Female,48108,PhD,Divorced,2567,1,2024-01-31,South,Doctor,1,1,8744,90,Phone,President his figure market skin.,Platinum,49,4
18,39,Female,64509,PhD,Single,2304,1,2024-04-09,South,Artist,3,5,11162,30,Email,Cut mouth body toward arm lay need here.,Bronze,58,8
19,19,Male,37960,High School,Divorced,2207,1,2023-09-02,North,Teacher,2,2,10258,35,Phone,Indicate art citizen face risk single.,Bronze,57,9
20,41,Female,48841,High School,Married,1933,0,2023-02-04,West,Scientist,4,2,14452,66,Email,Coach try live campaign human trade gun.,Gold,45,5
21,61,Male,64936,Bachelor,Married,1769,0,2023-05-25,South,Artist,1,4,8960,44,SMS,Fact fire suffer PM foreign open.,Platinum,69,6
22,47,Male,57939,High School,Married,2392,0,2023-07-25,South,Engineer,4,5,8493,4,Email,Yard not land mention five as could.,Platinum,88,8
23,55,Male,43005,High School,Single,2291,0,2023-12-15,South,Engineer,4,2,9493,64,Phone,Page at memory yet. Everything appear on art.,Gold,22,5
24,19,Male,27305,Bachelor,Divorced,1836,1,2024-06-24,North,Lawyer,1,1,8760,5,Phone,Newspaper foreign while similar try that.,Platinum,11,4
25,38,Female,54662,Bachelor,Divorced,3271,1,2024-04-24,East,Doctor,1,3,8109,48,Phone,Serious last increase see because.,Silver,27,8
26,50,Male,26319,Master,Widowed,1245,0,2024-01-09,South,Scientist,0,3,5103,66,Phone,Situation maybe book.,Gold,57,3
27,29,Male,46812,Master,Married,1883,1,2023-07-19,South,Engineer,0,3,6539,95,Email,Board talk meeting. Into fall author hope.,Bronze,60,6
28,39,Female,67684,High School,Widowed,1614,1,2024-04-12,East,Teacher,2,3,9639,27,Phone,Popular rule expert price.,Silver,95,9
29,61,Male,58951,PhD,Married,2192,0,2023-09-30,South,Teacher,2,1,6077,24,Phone,Right however effort save themselves record.,Platinum,54,6
30,42,Male,19645,Master,Widowed,1025,1,2024-11-09,West,Artist,2,2,11693,56,Email,Form blue local many form old difficult cause.,Bronze,88,9
31,66,Male,53006,Master,Married,2634,0,2023-08-24,South,Engineer,0,4,11109,45,Phone,Of organization population to.,Platinum,33,8
32,44,Male,45212,High School,Divorced,2502,0,2023-09-07,East,Scientist,4,1,7990,68,SMS,Good that today out.,Platinum,93,9
33,59,Female,30894,PhD,Married,2133,0,2025-01-01,North,Scientist,3,2,9841,28,SMS,Positive believe around anything political price.,Bronze,17,9
